"Accepted Symbol","Synonym Symbol","Scientific Name","Common Name","Growth Habit","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Anaerobic Tolerance","Drought Tolerance","Frost Free Days, Minimum","Moisture Use","pH (Minimum)","pH (Maximum)","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Salinity Tolerance","Shade Tolerance","Temperature, Minimum (°F)","Bloom Period"
"ARTR2","","Artemisia tridentata","big sagebrush","Tree, Shrub","Slow","3","4.0","No","Yes","No","None","High","90","Medium","6.0","8.2","6","16","20","Medium","Intolerant","-43","Mid Summer"
"ARTRT","","Artemisia tridentata ssp. tridentata","basin big sagebrush","Tree, Shrub","Slow","9","9.0","Yes","Yes","Yes","None","High","90","Low","6.5","8.5","6","35","16","Low","Intolerant","-13","Late Summer"
"ASTR","","Asimina triloba","pawpaw","Tree, Shrub","Slow","25","25","Yes","Yes","No","Low","Low","160","Medium","4.7","7.2","36","80","20","None","Tolerant","-27","Mid Spring"
"AVGE","","Avicennia germinans","black mangrove","Tree, Shrub","Rapid","50","30","No","Yes","Yes","Medium","Low","328","High","6.0","8.0","34","81","24","Medium","Intolerant","10","Indeterminate"
"BEPA","","Betula papyrifera","paper birch","Tree","Rapid","40","70","Yes","Yes","Yes","Low","Low","80","High","4.2","7.4","12","60","24","Medium","Intolerant","-62","Mid Spring"
"BEPO","","Betula populifolia","gray birch","Tree","Rapid","25","25","Yes","Yes","Yes","None","Medium","90","Low","3.5","6.5","36","65","18","Medium","Intermediate","-35","Mid Spring"
"CAAR18","","Caragana arborescens","Siberian peashrub","Tree, Shrub","Rapid","14","14","No","Yes","Yes","Low","High","160","Medium","6.0","9.0","10","35","16","Medium","Intolerant","-38","Late Spring"
"CACA18","","Carpinus caroliniana","American hornbeam","Tree, Shrub","Slow","18","30","Yes","Yes","No","Low","Low","80","Medium","4.0","7.4","23","80","20","None","Tolerant","-34","Mid Spring"
"CAIL2","","Carya illinoinensis","pecan","Tree","Slow","35","120","Yes","Yes","Yes","None","Low","180","High","4.5","7.5","28","79","32","None","Intolerant","-21","Early Spring"
"CAPU9","","Castanea pumila","chinquapin","Tree, Shrub","Moderate","14","20","Yes","Yes","No","None","High","150","Low","4.5","6.6","40","80","20","None","Intermediate","-20","Spring"
"CABI8","","Catalpa bignonioides","southern catalpa","Tree","Rapid","66","66","Yes","Yes","No","None","Medium","140","Low","5.5","7.5","30","65","36","None","Intermediate","-18","Mid Spring"
"CASP8","","Catalpa speciosa","northern catalpa","Tree","Rapid","20","60","Yes","Yes","No","None","Medium","90","Low","5.5","7.0","20","80","20","Low","Intolerant","-38","Early Summer"
"CELA","","Celtis laevigata","sugarberry","Tree, Shrub","Moderate","35","80","No","Yes","Yes","Medium","Low","150","High","4.4","7.7","20","80","24","Low","Tolerant","-21","Early Spring"
"CEOC","","Celtis occidentalis","common hackberry","Tree, Shrub","Rapid","26","60","Yes","Yes","Yes","Medium","High","120","Low","6.0","7.8","14","60","36","Low","Tolerant","-47","Mid Spring"
"CECA4","","Cercis canadensis","eastern redbud","Tree, Shrub","Slow","25","30","No","Yes","Yes","None","High","170","Low","5.0","7.9","20","80","24","None","Tolerant","-28","Spring"
"CHTH2","","Chamaecyparis thyoides","Atlantic white cedar","Tree","Moderate","20","50","Yes","Yes","No","High","None","140","Low","3.5","6.3","40","70","16","None","Intermediate","-36","Spring"
"CHLI2","","Chilopsis linearis","desert willow","Tree, Shrub","Rapid","15","25","Yes","Yes","No","Low","High","160","Low","6.6","8.5","8","40","12","Low","Intolerant","-23","Mid Spring"
"COFL2","","Cornus florida","flowering dogwood","Tree, Shrub","Moderate","20","30","Yes","Yes","No","None","Low","160","Low","4.8","7.7","28","80","18","None","Tolerant","-28","Early Spring"
"COSEO","","Cornus sericea ssp. occidentalis","western dogwood","Tree, Shrub","Moderate","15","16","Yes","Yes","Yes","High","Low","172","Medium","4.8","7.0","24","60","16","Medium","Intermediate","-11","Summer"
"COSES","","Cornus sericea ssp. sericea","redosier dogwood","Shrub, Tree","Moderate","12","12","Yes","Yes","Yes","High","Low","90","High","4.8","7.5","18","60","20","None","Intolerant","-38","Spring"
"COCO6","","Corylus cornuta","beaked hazelnut","Tree, Shrub","Moderate","15","15","No","Yes","No","None","Medium","90","Medium","4.8","7.5","20","80","16","None","Tolerant","-47","Early Spring"
"CRAN6","","Crataegus ×anomala","Arnold hawthorn","Tree","Moderate","30","30","Yes","Yes","Yes","None","Medium","90","Medium","5.7","7.6","24","36","24","None","Intolerant","-43","Late Spring"
"CRAE","","Crataegus aestivalis","may hawthorn","Tree, Shrub","Slow","26","26","No","Yes","No","Medium","Low","180","High","4.3","7.3","34","60","18","None","Intolerant","-8","Mid Spring"
"CRCR2","","Crataegus crus-galli","cockspur hawthorn","Tree, Shrub","Moderate","30","30","Yes","Yes","Yes","None","High","90","Low","4.5","7.2","24","60","24","Medium","Intolerant","-33","Late Spring"
"DIVI5","","Diospyros virginiana","common persimmon","Tree","Slow","25","55","Yes","Yes","Yes","None","Medium","200","Medium","4.7","7.5","30","80","36","Low","Tolerant","-21","Late Spring"
"FRAM2","","Fraxinus americana","white ash","Tree","Moderate","40","90","Yes","Yes","No","Low","Low","90","High","4.7","7.5","28","80","40","Medium","Intolerant","-34","Mid Spring"
"FRPE","","Fraxinus pennsylvanica","green ash","Tree","Rapid","35","80","Yes","Yes","Yes","Medium","Medium","120","Medium","4.7","8.1","15","71","40","Low","Tolerant","-47","Late Spring"
"GLTR","","Gleditsia triacanthos","honeylocust","Shrub, Tree","Moderate","35","70","No","Yes","Yes","Low","High","150","Low","5.0","8.0","20","70","20","Medium","Intolerant","-30","Late Spring"
"ILVO","","Ilex vomitoria","yaupon","Tree, Shrub","Slow","20","25","Yes","Yes","No","None","High","200","Low","4.5","7.0","36","55","20","Medium","Intermediate","7","Mid Spring"
"JUCI","","Juglans cinerea","butternut","Tree","Rapid","20","80","Yes","Yes","No","None","Low","105","Medium","6.0","7.0","25","80","40","None","Intolerant","-33","Late Spring"
"JUMI","","Juglans microcarpa","little walnut","Tree, Shrub","Slow","20","20","Yes","Yes","Yes","None","Medium","180","Medium","5.5","6.9","17","32","24","None","Intolerant","-3","Mid Spring"
"JUNI","","Juglans nigra","black walnut","Tree","Rapid","35","100","No","Yes","No","None","Low","170","High","4.6","8.2","30","60","40","None","Intolerant","-28","Late Spring"
"JUSC2","","Juniperus scopulorum","Rocky Mountain juniper","Tree, Shrub","Slow","25","50","Yes","Yes","No","None","High","160","Low","5.0","8.0","12","26","20","Low","Intolerant","-38","Early Spring"
"JUVI","","Juniperus virginiana","eastern redcedar","Tree","Slow","25","50","Yes","Yes","Yes","Low","High","140","Low","4.7","8.0","15","68","20","Low","Intermediate","-43","Late Spring"
"LAIN","","Lagerstroemia indica","crapemyrtle","Tree, Shrub","Moderate","25","25","Yes","Yes","No","None","Medium","165","Low","5.0","7.5","32","50","32","Low","Intolerant","-3","Summer"
"LALA","","Larix laricina","tamarack","Tree","Rapid","20","80","Yes","Yes","No","Low","Low","73","Medium","5.5","6.5","7","55","12","Low","Intolerant","-79","Mid Spring"
